,entity,start,main,age,exp,perf
2257,57,2014-02-18,5,20.947296372347708,34,2137.8636515195867
2258,57,2014-03-03,5,20.982888432580424,35,2126.919653007853
2259,57,2014-04-01,5,21.062286105407257,36,2117.924569831586
2260,57,2014-04-03,5,21.06776180698152,37,2118.648040615528
2261,57,2014-04-25,5,21.127994524298426,38,2115.191892060067
2262,57,2014-04-26,5,21.130732375085557,39,2122.5868115529292
2263,57,2014-06-05,5,21.240246406570844,40,2140.9159265677836
2264,57,2014-06-28,5,21.30321697467488,41,2139.47515737347
2265,57,2014-07-08,5,21.3305954825462,42,2131.975047055669
2266,57,2014-10-31,5,21.645448323066393,45,2145.720871284385
2267,57,2014-12-03,5,21.73579739904175,46,2143.378662634158
2268,57,2015-07-27,5,22.38193018480493,48,2132.9985646469827
2269,57,2015-10-16,5,22.60369609856263,52,2153.224034369334
2270,57,2015-11-13,5,22.680355920602327,53,2173.873433203009
2271,57,2015-12-09,5,22.751540041067763,55,2171.905424892764
2272,57,2016-01-27,5,22.885694729637233,56,2169.755485470942
2273,57,2016-02-25,5,22.965092402464066,57,2167.2342959968532
2274,57,2016-03-19,5,23.028062970568104,58,2165.2672691200787
2275,57,2016-04-14,5,23.09924709103354,59,2163.3807602364814
2276,57,2016-05-09,5,23.16769336071184,60,2177.598218959083
2277,57,2016-05-21,5,23.200547570157426,61,2176.2988976453116
2278,57,2016-06-03,5,23.236139630390145,62,2197.7494100784247
2279,57,2016-06-17,5,23.274469541409992,63,2195.3223217633745
2280,57,2016-07-13,5,23.345653661875428,64,2181.121889858885
2281,57,2016-08-02,5,23.40041067761807,65,2151.3083752053194
2282,57,2016-09-28,5,23.5564681724846,66,2149.05850640759
2283,57,2016-10-17,5,23.60848733744011,67,2147.361627140845
2284,57,2016-11-16,5,23.690622861054074,68,2148.9075719228895
2285,57,2016-12-03,5,23.737166324435318,69,2141.2003163238865
2286,57,2017-01-20,5,23.86858316221766,70,2139.0821047480763
2287,57,2017-02-11,5,23.928815879534564,71,2146.922115956812
2288,57,2017-02-23,5,23.96167008898015,72,2144.69416686743
2289,57,2017-03-27,5,24.04928131416838,73,2133.7535015649755
2290,57,2017-04-24,5,24.125941136208077,74,2130.9514344299205
2291,57,2017-05-25,5,24.210814510609172,75,2127.933152346854
2292,57,2017-06-04,5,24.238193018480494,76,2125.5460199781355
2293,57,2017-07-05,5,24.32306639288159,77,2123.2630717368106
2294,57,2017-08-02,5,24.399726214921287,78,2123.053545272377
2295,58,2013-05-19,5,17.650924024640656,2,1531.5707984640671
2296,58,2013-06-28,5,17.760438056125942,4,1537.5409149920192
2297,58,2013-09-28,5,18.012320328542096,7,1536.0403045178878
