,entity,start,prizeusd,perf1,perf2,perf3,perf4,perf5
593,25,2013-05-19,0.0,1776.8908529418002,1774.3454388338923,1646.0715897180428,1783.416712959943,1664.8731888839307
594,25,2013-11-25,0.0,1486.318712952523,1728.8455069954798,1295.6308950205075,1486.318712952523,1486.318712952523
595,25,2012-11-26,0.0,1504.0440979371042,1504.0440979371042,1504.0440979371042,1510.569957955247,1510.569957955247
596,25,2013-05-21,0.0,1862.1864818670795,1974.204145924949,1843.3848827011916,1971.658731817041,1980.7300059430918
597,25,2013-08-02,0.0,2024.9991903730988,2022.453776265191,1877.3717989872798,1912.9815263152295,2031.5250503912418
598,25,2014-07-08,38234.0,1714.1216689052612,2170.919762910791,1760.4600722760783,1714.1216689052612,2179.9910370368416
599,25,2012-10-03,0.0,1499.3677799646532,1505.8936399827962,1505.8936399827962,1499.3677799646532,1499.3677799646532
600,25,2013-02-10,0.0,1607.372610248366,1613.8984702665089,1538.1055005404824,1613.8984702665089,1607.372610248366
601,25,2013-03-09,0.0,1688.5674926434526,1695.0933526615954,1557.7482294196952,1695.0933526615954,1688.5674926434526
602,25,2012-11-29,0.0,1502.339215251543,1502.339215251543,1502.339215251543,1508.8650752696858,1508.8650752696858
603,26,2015-07-27,55289.0,1669.5655884063863,1636.0986343188156,1636.0986343188156,1421.8980949338782,1669.5655884063863
604,26,2015-10-07,3152.0,1554.3564406779867,1554.3564406779867,1667.9790404688658,1677.6644989213357,1554.3564406779867
605,27,2014-10-06,3778.0,1603.1071498182312,1603.1071498182312,1603.1071498182312,1603.1071498182312,1603.1071498182312
606,27,2015-01-29,30575.0,1679.2510468588562,1679.2510468588562,1679.2510468588562,1679.2510468588562,1679.2510468588562
607,27,2016-03-19,195274.5,1633.6761136780538,1687.0480992176165,1662.6292066529659,1676.362639275485,1549.0066068620868
608,27,2015-11-30,25000.0,1648.5173239809276,1701.88930952049,1677.4704169558397,1687.1558754083096,1563.8478171649606
609,27,2014-11-13,0.0,1600.3827815136758,1600.3827815136758,1600.3827815136758,1600.3827815136758,1600.3827815136758
610,27,2014-09-12,5000.0,1615.9827097813247,1615.9827097813247,1615.9827097813247,1615.9827097813247,1615.9827097813247
611,27,2014-04-27,9870.0,1623.5896652961878,1623.5896652961878,1623.5896652961878,1623.5896652961878,1623.5896652961878
612,27,2015-10-16,284954.04,1639.0259474939537,1692.3979330335164,1692.3979330335164,1691.2038495783586,1672.4929015815244
613,27,2016-09-09,10000.0,1684.8392848401536,1674.153824898022,1724.4335430270448,1685.1799553968403,1546.797792484624
614,27,2016-09-28,6250.0,1671.8253336923165,1682.510793634448,1722.1050518213394,1682.8514641911347,1544.4693012789185
615,27,2016-07-23,50000.0,1640.3405349394693,1693.712520479032,1669.2936279143814,1683.0270605369003,1555.6710281235023
616,27,2014-11-14,6922.0,1639.43804116722,1639.43804116722,1639.43804116722,1639.43804116722,1639.43804116722
617,27,2016-04-14,2500.0,1661.7710642873058,1715.1430498268683,1690.7241572622177,1704.4575898847368,1577.1015574713388
618,27,2016-12-03,62500.0,1719.4981668351218,1677.8885041481647,1663.9397603054958,1669.2184487060988,1539.8470117926352
619,27,2014-07-08,0.0,1617.531561127645,1617.531561127645,1617.531561127645,1617.531561127645,1617.531561127645
620,27,2015-07-27,829333.0,1688.2765364032205,1689.4706198583783,1689.4706198583783,1688.2765364032205,1688.2765364032205
621,27,2016-08-02,934761.0,1633.4432193120601,1686.8152048516229,1662.3963122869723,1676.1297449094911,1548.7737124960931
622,27,2016-06-03,202500.0,1634.019710555195,1687.3916960947574,1662.972803530107,1676.706236152626,1549.350203739228
623,27,2016-02-25,255000.0,1643.1495450598009,1696.5215305993634,1672.1026380347128,1685.8360706572319,1558.4800382438339
624,27,2016-04-28,208239.5,1660.1513513990399,1713.5233369386026,1689.104444373952,1702.837876996471,1575.4818445830729
625,27,2015-12-17,0.0,1645.9938211078365,1699.365806647399,1674.9469140827484,1688.6803467052675,1561.3243142918695
626,27,2015-10-07,47280.0,1641.4170405460354,1694.789026085598,1694.789026085598,1693.5949426304403,1674.8839946336059
627,27,2016-04-29,7638.5,1647.7350058061143,1701.106991345677,1676.6880987810264,1690.4215314035453,1563.0654989901473
628,27,2016-11-10,2934.0,1680.4953891343823,1680.836059691069,1542.4538967788526,1669.0453831249717,1552.341036177921
629,27,2014-11-17,8401.84,1682.3250544831246,1682.3250544831246,1682.3250544831246,1682.3250544831246,1682.3250544831246
630,28,2012-12-13,2500.0,1605.1082726020422,1605.1082726020422,1605.1082726020422,1605.1082726020422,1605.1082726020422
631,28,2013-11-04,25000.0,1916.1860654277343,1917.9841874791925,1939.3183506576852,1908.8183303345468,1942.3073052346067
632,28,2014-03-03,8000.0,1815.375398418251,1817.1735204697093,1838.5076836482017,1841.4966382251234,1808.0076633250635
633,28,2013-06-16,25000.0,1821.0336228810106,1822.831744932469,1844.1659081109615,1822.831744932469,1847.154862687883
634,28,2013-05-04,0.0,1634.9559907008947,1633.7592441628285,1655.0934073413212,1658.0823619182427,1633.7592441628285
635,28,2017-06-14,3500.0,1818.5405305880452,1720.1563398248793,1673.1835348613545,1611.8064387891307,1427.317011485343
636,28,2015-01-29,45863.0,1817.8359708187845,1819.634092870243,1840.9682560487354,1345.006849743876,1938.4980771051944
637,28,2015-12-02,0.0,1511.9675671407379,1743.0776899700725,1587.264006448953,1558.6763048651446,1666.8264309391643
638,28,2013-10-17,0.0,1905.0097838151964,1906.807905866655,1928.1420690451473,1897.6420487220091,1931.1310236220688
639,28,2014-02-09,61500.0,1879.8498621173133,1881.6479841687715,1902.982147347264,1872.4821270241257,1905.9711019241856
640,28,2014-04-25,0.0,1743.4352597515376,1745.2333818029958,1766.5675449814883,1736.06752465835,1769.55649955841
641,28,2015-02-23,0.0,1774.7341922295864,1776.5323142810448,1723.6675696523803,1301.905071154678,1895.3962985159962
642,28,2015-09-20,0.0,1496.0748292766712,1729.104622422291,1805.7825538631846,1544.703237317363,1895.8940432740678
643,28,2016-03-19,195274.13,1498.9682451183976,1730.0783679477322,1683.1055629842074,1545.6769828428041,1653.827108916824
644,28,2013-06-15,1547.4,1818.9279370333938,1820.726059084852,1842.0602222633447,1820.726059084852,1845.0491768402662
645,28,2012-11-22,0.0,1670.3697475701783,1670.3697475701783,1670.3697475701783,1670.3697475701783,1670.3697475701783
646,28,2016-05-21,25000.0,1499.6705003747034,1730.780623204038,1683.807818240513,1546.37923809911,1654.5293641731296
647,28,2017-05-04,6000.0,1821.5483545244304,1723.1641637612645,1676.1913587977397,1614.8142627255158,1430.3248354217283
648,28,2017-06-04,5000.0,1820.7637709095175,1722.3795801463516,1675.4067751828266,1614.029679110603,1429.5402518068154
649,28,2014-06-28,10545.0,1749.7457737873028,1751.543895838761,1772.8780590172535,1742.3780386941153,1775.8670135941752
650,28,2016-06-17,314545.2,1505.6531000550704,1736.763222884405,1689.7904179208801,1552.361837779477,1660.5119638534966
651,28,2014-10-09,7051.0,1880.8037352227539,1882.6018572742123,1903.9360204527047,1886.5777592122681,2001.4658415091637
652,28,2012-11-02,12000.0,1673.170174685894,1673.170174685894,1673.170174685894,1673.170174685894,1673.170174685894
653,28,2014-08-26,18894.0,1830.8546540060522,1832.6527760575104,1853.986939236003,1836.6286779955667,1951.516760292462
654,28,2014-09-11,10000.0,1866.190281206731,1867.9884032581892,1889.3225664366819,1986.8523874931407,1871.9643051962453
655,28,2012-10-02,2500.0,1671.1310023906256,1671.1310023906256,1671.1310023906256,1671.1310023906256,1671.1310023906256
656,28,2012-11-08,2500.0,1670.8782102300495,1670.8782102300495,1670.8782102300495,1670.8782102300495,1670.8782102300495
657,28,2014-04-01,19629.0,1776.6294011972755,1778.427523248734,1799.7616864272263,1802.7506410041478,1769.2616661040881
658,28,2013-11-22,13696.0,1913.3599669388382,1915.1580889902964,1936.492252168789,1905.9922318456506,1939.4812067457106
659,28,2014-02-04,1500.0,1891.942117229772,1893.7402392812305,1915.074402459723,1884.5743821365847,1918.0633570366444
660,28,2015-03-20,11197.9,1762.4922025563833,1764.2903246078417,1711.425579979177,1289.6630814814746,1849.543641287343
661,28,2015-06-03,0.0,1781.0893669718932,1782.8874890233517,1859.5654204642456,1709.043437778681,1598.4861039184236
662,28,2014-08-25,5000.0,1797.530840787402,1818.8650039658946,1795.7327187359438,1801.506742725458,1916.3948250223534
663,28,2015-10-30,1000.0,1511.8952650981907,1743.0053879275254,1819.6833193684192,1558.6040028225975,1583.1950736371246
664,28,2012-12-12,0.0,1605.4542989372196,1605.4542989372196,1605.4542989372196,1605.4542989372196,1605.4542989372196
665,28,2013-05-20,5000.0,1761.5376879947355,1763.3358100461937,1784.6699732246861,1763.3358100461937,1787.6589278016077
666,28,2013-09-02,4000.0,1853.712049392007,1855.5101714434654,1876.8443346219578,1879.8332891988794,1855.5101714434654
667,28,2013-03-18,12000.0,1633.912550786374,1633.912550786374,1655.2467139648666,1633.912550786374,1658.235668541788
668,28,2016-01-13,302227.0167,1509.874020500859,1740.9841433301935,1585.1704598090741,1556.5827582252657,1664.7328842992854
669,28,2016-07-21,135000.0,1511.1848582311254,1742.29498106046,1695.3221760969352,1557.893595955532,1666.0437220295516
670,28,2014-08-15,9359.0,1794.9500385222682,1796.7481605737266,1818.082323752219,1800.7240625117824,1915.612144808678
671,28,2014-11-14,3461.0,1820.9997359327765,1822.7978579842347,1844.1320211627274,1941.6618422191864,1348.1706148578678
